epoch,accuracy,loss,val_accuracy,val_loss
0,0.2753036320209503,1.4392095804214478,0.31111112236976624,1.3349536657333374
1,0.3927125632762909,1.265441656112671,0.35555556416511536,1.237767219543457
2,0.5668016076087952,1.0047152042388916,0.5555555820465088,0.9421963095664978
3,0.6842105388641357,0.8055812120437622,0.7555555701255798,0.738631546497345
4,0.7530364394187927,0.6468205451965332,0.800000011920929,0.6957508325576782
5,0.8016194105148315,0.5166164636611938,0.7555555701255798,0.7523058652877808
6,0.7732793688774109,0.5754312872886658,0.7777777910232544,0.6464166045188904
7,0.7813765406608582,0.5468578934669495,0.8222222328186035,0.5066403150558472
8,0.8704453706741333,0.3958560526371002,0.8222222328186035,0.6872954368591309
9,0.8427419066429138,0.41165614128112793,0.8666666746139526,0.3956676423549652
10,0.8947368264198303,0.31589871644973755,0.9111111164093018,0.42483383417129517
11,0.8947368264198303,0.28579849004745483,0.9111111164093018,0.37095534801483154
12,0.8951612710952759,0.31474822759628296,0.8888888955116272,0.39065107703208923
13,0.8947368264198303,0.2851135730743408,0.9333333373069763,0.31775039434432983
14,0.9352226853370667,0.21137011051177979,0.9333333373069763,0.3531060814857483
15,0.931174099445343,0.19670173525810242,0.9555555582046509,0.30753085017204285
16,0.898785412311554,0.26677557826042175,0.9555555582046509,0.29703474044799805
17,0.9392712712287903,0.20178432762622833,0.8888888955116272,0.4650968015193939
18,0.9554656147956848,0.16254442930221558,0.9333333373069763,0.3125914931297302
19,0.9595141410827637,0.16204527020454407,0.9111111164093018,0.4517403841018677
20,0.9757084846496582,0.11386297643184662,0.9111111164093018,0.3776983618736267
21,0.931174099445343,0.19456103444099426,0.8888888955116272,0.4373937249183655
22,0.9797570705413818,0.11701228469610214,0.9555555582046509,0.3152821660041809
23,0.9676113128662109,0.11796524375677109,0.9333333373069763,0.28146204352378845
24,0.9635627269744873,0.1858227252960205,0.9333333373069763,0.34041595458984375
25,0.9676113128662109,0.1371132731437683,0.9777777791023254,0.281095027923584
26,0.9757084846496582,0.09021013975143433,0.9555555582046509,0.29876163601875305
27,0.9878542423248291,0.07483784109354019,0.9111111164093018,0.32665345072746277
28,0.9595141410827637,0.12840290367603302,0.9555555582046509,0.2873113453388214
29,0.9554656147956848,0.12517787516117096,0.8888888955116272,0.41552311182022095
30,0.9433198571205139,0.14522813260555267,0.9333333373069763,0.25605425238609314
31,0.9716598987579346,0.09809945523738861,0.9555555582046509,0.34387969970703125
32,0.9757084846496582,0.0987720787525177,0.9111111164093018,0.44040969014167786
33,0.9473684430122375,0.16036303341388702,0.8666666746139526,0.4711706340312958
34,0.9595141410827637,0.12331894040107727,0.9333333373069763,0.3193705379962921
35,0.9757084846496582,0.06268427520990372,0.9111111164093018,0.4156636595726013
36,0.9797570705413818,0.06589695066213608,0.9333333373069763,0.3059175908565521
37,0.9797570705413818,0.07600362598896027,0.9555555582046509,0.32492852210998535
