epoch,accuracy,loss,val_accuracy,val_loss
0,0.239215686917305,5.26259183883667,0.35555556416511536,6.848592758178711
1,0.3843137323856354,5.748143196105957,0.4000000059604645,3.569561004638672
2,0.43529412150382996,2.4100539684295654,0.35555556416511536,1.3554495573043823
3,0.29411765933036804,1.6705355644226074,0.35555556416511536,1.3058936595916748
4,0.48235294222831726,1.0911191701889038,0.5333333611488342,1.1708507537841797
5,0.6431372761726379,0.9661568403244019,0.5777778029441833,1.0658529996871948
6,0.6470588445663452,0.8819360136985779,0.5555555820465088,0.8408750891685486
7,0.8352941274642944,0.5946540832519531,0.6000000238418579,0.9109627604484558
8,0.7843137383460999,0.5863101482391357,0.7111111283302307,0.7244471311569214
9,0.9333333373069763,0.444330632686615,0.7333333492279053,0.5970986485481262
10,0.9215686321258545,0.40509337186813354,0.7333333492279053,0.6181340217590332
11,0.9411764740943909,0.32156145572662354,0.7777777910232544,0.6670142412185669
12,0.9372549057006836,0.28372102975845337,0.7777777910232544,0.5213849544525146
13,0.9725490212440491,0.2313900738954544,0.8444444537162781,0.4207819998264313
14,0.9764705896377563,0.1990235596895218,0.8222222328186035,0.4575279653072357
15,0.9803921580314636,0.16179756820201874,0.7777777910232544,0.5090805292129517
16,0.9843137264251709,0.14286325871944427,0.800000011920929,0.4568023681640625
17,0.9882352948188782,0.12287064641714096,0.8666666746139526,0.3826389014720917
18,0.9882352948188782,0.10635814815759659,0.8444444537162781,0.4091021716594696
19,0.9921568632125854,0.09218673408031464,0.8222222328186035,0.4577542543411255
20,0.9960784316062927,0.07768204808235168,0.8666666746139526,0.39348652958869934
21,0.9921568632125854,0.0678057074546814,0.8444444537162781,0.40826165676116943
22,1.0,0.058440785855054855,0.8444444537162781,0.39853206276893616
23,1.0,0.049646247178316116,0.8444444537162781,0.45115864276885986
24,1.0,0.04440050944685936,0.8666666746139526,0.43781593441963196
25,1.0,0.03838278725743294,0.8222222328186035,0.4567030072212219
26,1.0,0.03379766270518303,0.8666666746139526,0.4251372516155243
27,1.0,0.03062104992568493,0.8666666746139526,0.41643527150154114
28,1.0,0.02712908387184143,0.8666666746139526,0.4407859444618225
29,1.0,0.02419041283428669,0.8666666746139526,0.44622841477394104
30,1.0,0.021411528810858727,0.8666666746139526,0.4281712472438812
31,1.0,0.019171148538589478,0.8666666746139526,0.4331147074699402
32,1.0,0.016895871609449387,0.8444444537162781,0.46476855874061584
